,Subject_id,Number of EEG channels,EEG channel names,Sampling frequency
0,rej039_Stage_dépistage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
1,10008_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
2,10009_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
3,10030_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
4,10035_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
5,10041_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
6,11008_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
7,11010_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
8,11013_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
9,11028_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
10,11032_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
11,11034_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
12,11035_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
13,11037_Stage_Montage_1.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
14,11037_Stage_Montage_2.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
15,11038_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
16,11039_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
17,11042_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
18,11043_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
19,11049_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
20,13009_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
21,14001_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
22,14004_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
23,14017_Stage_dépistage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
24,15032_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
25,15047_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",128.0
26,16026_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
27,16027_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
28,16028_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
29,16035_Stage_Montage.edf,8,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1]",256.0
30,16058n0c_Stade_dépistage.edf,9,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1, ECG ecg2]",256.0
31,16058n0-op_Stade_dépistage.edf,9,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1, ECG ecg2]",256.0
32,16097n0_Stade_dépistage.edf,9,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1, ECG ecg2]",256.0
