,Subject_id,Number of EEG channels,EEG channel names,Sampling frequency
0,A16152-N1_Stade_COMPLET_RC.edf,20,"[EMG EMG1, EMG EMG2, EMG EMG3, EEG F3, EEG F4, EEG C3, EEG C4, EEG P3, EEG P4, EEG O1, EEG O2, EEG F7, EEG F8, EEG T3, EEG T4, EEG T5, EEG T6, EEG Fz, EEG Cz, EEG Pz]",512.0
1,Z1414-N1_Stade_COMPLET_RC.edf,3,"[EEG C3, EEG C4, EEG O1]",256.0
2,Z1427-N1_Stade_COMPLET_RC.edf,3,"[EEG C3, EEG C4, EEG O1]",256.0
3,Z1644-N1_Stade_COMPLET_RC.edf,3,"[EEG C3, EEG C4, EEG O1]",256.0
4,A1201-N1_Stade_COMPLET_32.edf,21,"[EEG Fp1-OL, EEG Fp2-OL, EEG F3-OL, EEG F4-OL, EEG F7-OL, EEG F8-OL, EEG C3-OL, EEG C4-OL, EEG P3-OL, EEG P4-OL, EEG O1-OL, EEG O2-OL, EEG T3-OL, EEG T4-OL, EEG T5-OL, EEG T6-OL, EEG Fz-OL, EEG Cz-OL, EEG Pz-OL, EMG EMG1, EMG EMG2]",256.0
5,Z1411-N1_Stade_COMPLET_RC.edf,20,"[EMG EMG1, EMG EMG2, EMG EMG3, EEG F3, EEG F4, EEG C3, EEG C4, EEG P3, EEG P4, EEG O1, EEG O2, EEG F7, EEG F8, EEG T3, EEG T4, EEG T5, EEG T6, EEG Fz, EEG Cz, EEG Pz]",512.0
6,16459N0_Stade_dépistage.edf,11,"[EMG emg1, EMG emg2, EMG emg3, EEG C4, EEG C3, EEG O2, EEG O1, ECG ecg1, ECG ecg2, ECG ECG3, EEG F3]",512.0
7,10005N0S_Stade_dépistage-A_1.edf,5,"[EEG F4, EEG F3, EEG C4, EEG C3, EEG O2]",256.0
8,Z1303-N1_Stade_COMPLET_RC.edf,20,"[EMG EMG2, EMG EMG3, EMG EMG1, EEG F3, EEG F4, EEG C3, EEG C4, EEG P3, EEG P4, EEG O1, EEG O2, EEG F7, EEG F8, EEG T3, EEG T4, EEG T5, EEG T6, EEG Fz, EEG Cz, EEG Pz]",512.0
9,10005N0S_Stade_dépistage-A_2.edf,5,"[EEG F4, EEG F3, EEG C4, EEG C3, EEG O2]",256.0
